"x","y","z","color","region","site_name","group"
-0.8,11.7,155.8,"#000000","WACASL","EVANS_CREEK",0
-0.8,12.9,245.4,"#000000","WACASL","STONE_NURSERY",0
-0.8,9.9,589.6,"#000000","WACASL","JAMMER3",0
-0.8,11.2,644.1,"#000000","WACASL","NORTONS",0
-0.8,11.2,233.1,"#000000","WACASL","FLORAS",0
-0.8,11.6,333.4,"#000000","WACASL","SLICE_BUTTE",0
-0.8,10.6,577.1,"#000000","WACASL","BUCKHORN2",0
-0.8,8.2,170.4,"#000000","WACASL","DOORSTOP",0
-0.8,9.7,179.4,"#000000","WACASL","SODA320",0
-2,11.2,202.8,"#000000","WACASL","FLORAS",0
-2,11.6,322.4,"#000000","WACASL","SLICE_BUTTE",0
-2,9.7,129,"#000000","WACASL","SODA320",0
-2,8.2,136.3,"#000000","WACASL","DOORSTOP",0
-2,11.7,206.3,"#000000","WACASL","EVANS_CREEK",0
-2,10.6,490.6,"#000000","WACASL","BUCKHORN2",0
-2,12.9,232.2,"#000000","WACASL","STONE_NURSERY",0
-2,9.9,451.2,"#000000","WACASL","JAMMER3",0
-2,11.2,573.6,"#000000","WACASL","NORTONS",0
-2.5,12.9,222.4,"#000000","WACASL","STONE_NURSERY",0
-2.5,10.6,582.1,"#000000","WACASL","BUCKHORN2",0
-2.5,9.7,171,"#000000","WACASL","SODA320",0
-2.5,11.2,632.1,"#000000","WACASL","NORTONS",0
-2.5,9.9,529.4,"#000000","WACASL","JAMMER3",0
-2.5,11.2,215,"#000000","WACASL","FLORAS",0
-2.5,11.7,156,"#000000","WACASL","EVANS_CREEK",0
-2.5,11.6,337.2,"#000000","WACASL","SLICE_BUTTE",0
-2.5,8.2,177.4,"#000000","WACASL","DOORSTOP",0
-2.4,11.2,657,"#000000","WACASL","NORTONS",0
-2.4,11.7,142.1,"#000000","WACASL","EVANS_CREEK",0
-2.4,12.9,185.1,"#000000","WACASL","STONE_NURSERY",0
-2.4,11.6,307.2,"#000000","WACASL","SLICE_BUTTE",0
-2.4,9.7,167.6,"#000000","WACASL","SODA320",0
-2.4,11.2,270.1,"#000000","WACASL","FLORAS",0
-2.4,8.2,143,"#000000","WACASL","DOORSTOP",0
-2.4,9.9,422.4,"#000000","WACASL","JAMMER3",0
-2.4,10.6,462.4,"#000000","WACASL","BUCKHORN2",0
-4.2,11.7,165.2,"#000000","WACASL","EVANS_CREEK",0
-4.2,11.2,601.8,"#000000","WACASL","NORTONS",0
-4.2,12.9,195.7,"#000000","WACASL","STONE_NURSERY",0
-4.2,9.7,156.1,"#000000","WACASL","SODA320",0
-4.2,11.2,241,"#000000","WACASL","FLORAS",0
-4.2,11.6,279.6,"#000000","WACASL","SLICE_BUTTE",0
-4.2,9.9,395.7,"#000000","WACASL","JAMMER3",0
-4.2,8.2,135.7,"#000000","WACASL","DOORSTOP",0
-4.2,10.6,453.5,"#000000","WACASL","BUCKHORN2",0
0.9,11.2,728.5,"#00008B","ORCSTN","NORTONS",1
0.9,9.7,222.8,"#00008B","ORCSTN","SODA320",1
0.9,10.6,482.3,"#00008B","ORCSTN","BUCKHORN2",1
0.9,8.2,156.3,"#00008B","ORCSTN","DOORSTOP",1
0.9,12.9,258.8,"#00008B","ORCSTN","STONE_NURSERY",1
0.9,11.2,316.9,"#00008B","ORCSTN","FLORAS",1
0.9,11.7,181,"#00008B","ORCSTN","EVANS_CREEK",1
0.9,11.6,331.6,"#00008B","ORCSTN","SLICE_BUTTE",1
0.9,9.9,630.7,"#00008B","ORCSTN","JAMMER3",1
0.3,9.7,159.3,"#00008B","ORCSTN","SODA320",1
0.3,11.2,287.7,"#00008B","ORCSTN","FLORAS",1
0.3,11.7,163.5,"#00008B","ORCSTN","EVANS_CREEK",1
0.3,8.2,109.6,"#00008B","ORCSTN","DOORSTOP",1
0.3,12.9,201.6,"#00008B","ORCSTN","STONE_NURSERY",1
0.3,11.6,346.2,"#00008B","ORCSTN","SLICE_BUTTE",1
0.3,11.2,604.9,"#00008B","ORCSTN","NORTONS",1
0.3,10.6,464,"#00008B","ORCSTN","BUCKHORN2",1
0.3,9.9,442.3,"#00008B","ORCSTN","JAMMER3",1
1.3,10.6,707.7,"#00008B","ORCSTN","BUCKHORN2",1
1.3,11.7,194.1,"#00008B","ORCSTN","EVANS_CREEK",1
1.3,11.6,402.1,"#00008B","ORCSTN","SLICE_BUTTE",1
1.3,12.9,245.2,"#00008B","ORCSTN","STONE_NURSERY",1
1.3,8.2,188.8,"#00008B","ORCSTN","DOORSTOP",1
1.3,9.7,211.9,"#00008B","ORCSTN","SODA320",1
1.3,11.2,353.2,"#00008B","ORCSTN","FLORAS",1
1.3,9.9,711.6,"#00008B","ORCSTN","JAMMER3",1
1.3,11.2,885.8,"#00008B","ORCSTN","NORTONS",1
0.6,11.2,423.9,"#00008B","ORCSTN","FLORAS",1
0.6,11.6,464.4,"#00008B","ORCSTN","SLICE_BUTTE",1
0.6,10.6,638.8,"#00008B","ORCSTN","BUCKHORN2",1
0.6,9.9,578.8,"#00008B","ORCSTN","JAMMER3",1
0.6,11.7,217.6,"#00008B","ORCSTN","EVANS_CREEK",1
0.6,12.9,236.9,"#00008B","ORCSTN","STONE_NURSERY",1
0.6,11.2,844.5,"#00008B","ORCSTN","NORTONS",1
0.6,8.2,162.1,"#00008B","ORCSTN","DOORSTOP",1
0.6,9.7,200.5,"#00008B","ORCSTN","SODA320",1
0.2,9.9,531.2,"#00008B","ORCSTN","JAMMER3",1
0.2,11.6,378.6,"#00008B","ORCSTN","SLICE_BUTTE",1
0.2,11.7,183.1,"#00008B","ORCSTN","EVANS_CREEK",1
0.2,11.2,351.4,"#00008B","ORCSTN","FLORAS",1
0.2,9.7,190.1,"#00008B","ORCSTN","SODA320",1
0.2,12.9,281.1,"#00008B","ORCSTN","STONE_NURSERY",1
0.2,10.6,490.9,"#00008B","ORCSTN","BUCKHORN2",1
0.2,11.2,799.6,"#00008B","ORCSTN","NORTONS",1
0.2,8.2,191.6,"#00008B","ORCSTN","DOORSTOP",1
3.3,10.6,612.9,"#00FF00","ORCSTS","BUCKHORN2",2
3.3,11.7,184.7,"#00FF00","ORCSTS","EVANS_CREEK",2
3.3,11.6,354,"#00FF00","ORCSTS","SLICE_BUTTE",2
3.3,9.7,181.8,"#00FF00","ORCSTS","SODA320",2
3.3,8.2,134.3,"#00FF00","ORCSTS","DOORSTOP",2
3.3,12.9,251.1,"#00FF00","ORCSTS","STONE_NURSERY",2
3.3,11.2,843.7,"#00FF00","ORCSTS","NORTONS",2
3.3,9.9,561,"#00FF00","ORCSTS","JAMMER3",2
3.3,11.2,459.8,"#00FF00","ORCSTS","FLORAS",2
2.8,11.2,766,"#00FF00","ORCSTS","NORTONS",2
2.8,9.7,172.7,"#00FF00","ORCSTS","SODA320",2
2.8,12.9,300.4,"#00FF00","ORCSTS","STONE_NURSERY",2
2.8,11.7,201.8,"#00FF00","ORCSTS","EVANS_CREEK",2
2.8,10.6,609.1,"#00FF00","ORCSTS","BUCKHORN2",2
